SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532503,RAJAPAMILLS ,X ,Q,1254.60,1258.00,1235.00,1242.60,1239.00,1241.60,74,641,799025.00,
532504,NAVIN FLUORI,B ,Q,702.00,734.80,702.00,728.15,726.65,701.65,628,7957,5775573.00,
532505,UCOBANK     ,A ,Q,30.30,30.30,29.65,29.75,29.75,29.90,196,23109,689309.00,
532507,BAG FIL MED ,T ,Q,7.51,7.85,7.51,7.62,7.69,7.70,54,45080,346053.00,
532508,JSL         ,B ,Q,100.00,102.20,100.00,101.35,101.35,100.70,278,27192,2751737.00,
532509,SUPRAJIT ENG,B ,Q,316.00,336.00,312.70,323.30,322.00,311.50,1320,33699,11109535.00,
532511,EXCEL CROP. ,B ,Q,1999.95,2000.95,1986.00,1987.95,1998.90,1984.30,36,387,770535.00,
532513,TVSELE      ,T ,Q,396.35,402.50,385.40,396.60,395.10,396.55,242,32963,13003783.00,
532514,INDRA GAS   ,A ,Q,329.95,330.70,326.00,328.30,328.30,325.65,2169,83615,27473847.00,
532515,TV TODAY    ,B ,Q,395.00,406.85,395.00,403.20,404.00,392.30,667,9437,3804862.00,
532518,FLORENCE    ,X ,Q,1850.00,1925.00,1844.00,1897.95,1900.00,1861.05,40,2793,5222368.00,
532521,PALRED      ,B ,Q,86.45,87.05,86.45,87.00,87.00,87.75,6,150,13018.00,
532522,PETRONET LNG,A ,Q,255.50,255.50,251.85,254.15,254.15,254.45,1651,129370,32808331.00,
532523,BIOCON LTD. ,A ,Q,516.00,541.00,516.00,538.05,540.50,516.85,3118,255275,135481459.00,
532524,PTC INDIA   ,A ,Q,112.50,115.00,112.50,113.55,113.55,111.85,1273,179854,20488728.00,
532525,BANK MAHA   ,B ,Q,21.50,21.65,21.10,21.25,21.25,21.30,448,147983,3171112.00,
532527,RK FORGINGS ,B ,Q,790.55,850.00,790.55,831.60,830.05,793.85,792,16589,13763598.00,
532528,DATAM GLOB  ,B ,Q,127.05,132.50,126.00,130.25,130.25,125.95,489,35778,4659478.00,
532529,NDTV        ,B ,Q,47.75,47.75,45.10,45.45,45.45,45.50,193,33622,1578286.00,
532531,STAR        ,A ,Q,800.80,802.55,793.05,795.25,795.25,796.95,406,10346,8228172.00,
532532,JAIPRA      ,A ,Q,17.10,17.25,16.95,17.10,17.10,17.05,1690,2232066,38178216.00,
